algoritmo,num_onus,carga_embb,rep,loss_embb,loss_urllc,loss_mmtc,lat_avg_embb,lat_avg_urllc,lat_avg_mmtc,lat_p99_urllc,throughput_total,jitter_urllc
QosDBA,32,150,1,0.6921569100761497,0.0,0.0,,,,,20.859015740740737,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.552503138888888,
QosDBA,32,200,1,0.7691188759010028,0.0,0.0,,,,,20.856441546296296,
QosDBA,32,200,1,0.7693902062313303,0.0,0.0,,,,,20.856412861111114,
QosDBA,32,200,1,0.7692657928684544,0.0,0.0,,,,,20.857034101851852,
QosDBA,32,200,1,0.7691207024494398,0.0,0.0,,,,,20.857585,
QosDBA,32,200,1,0.7690417172724241,0.0,0.0,,,,,20.855732074074076,
QosDBA,32,200,1,0.7692103586354884,0.0,0.0,,,,,20.85677185185185,
QosDBA,32,200,1,0.769279633838865,0.0,0.0,,,,,20.85588785185185,
QosDBA,32,200,1,0.7692305619636738,0.0,0.0,,,,,20.856838037037036,
QosDBA,32,200,1,0.7690715817916316,0.0,0.0,,,,,20.859268379629626,
QosDBA,32,200,1,0.7691410052162825,0.0,0.0,,,,,20.85613463888889,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.547334814814814,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.542382898148148,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.541766324074075,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.561170361111111,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.55771012962963,
